molecule_chembl_id,canonical_smiles,standard_value
CHEMBL91830,Cn1nc(-c2ccc(/C=N/N=C(/N)S)s2)cc1C(F)(F)F,7000.0
CHEMBL91267,C/C(=N\N=C(\N)S)c1ccc(N2CCOCC2)cc1,10000.0
CHEMBL313679,CC/C(=N\N=C(\N)S)c1cccc(Br)c1,100.0
CHEMBL330453,CN(C)c1ccc(/C=N/N=C(/N)S)c2ccccc12,10000.0
CHEMBL93166,CC/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,20.0
CHEMBL90197,NC(=S)N1CCC(c2cccc(Cl)c2)=N1,270.0
CHEMBL90866,CC/C(=N\N=C(\N)S)c1cccc(Cl)c1,220.0
CHEMBL89974,CC/C(=N\NC(N)=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10000.0
CHEMBL92375,CC/C(=N\N=C(\N)S)c1cccc(F)c1,10000.0
CHEMBL93490,N/C(S)=N/N=C/c1cccc(Cl)c1Cl,10000.0
CHEMBL91201,C/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,10000.0
CHEMBL119515,O=C1C(=O)N(C(=O)OCc2ccccc2)c2ccccc21,10000.0
CHEMBL326294,O=C1Nc2ccccc2C1=O,10000.0
CHEMBL118883,Cc1ccc2c(c1)C(=O)C(=O)N2,10000.0
CHEMBL119828,O=C1C(=O)N(S(=O)(=O)c2ccccc2)c2ccccc21,10000.0
CHEMBL118638,Cc1ccc(C)c(CN2C(=O)C(=O)c3cc(C)ccc32)c1,80000.0
CHEMBL119345,Cc1ccc2[nH]c(O)c(/N=N/C(=N)S)c2c1,50000.0
CHEMBL117447,O=C1C(=O)N(c2ccccc2)c2ccccc21,10000.0
CHEMBL326185,O=C1C(=O)N(C(=O)OCc2ccccc2)c2ccc(Cl)cc21,80000.0
CHEMBL118762,O=C1C(=O)N(C(=O)OCc2ccccc2)c2ccc(F)cc21,10000.0
CHEMBL115581,O=C1C(=O)N(Cc2ccccc2)c2ccccc21,10000.0
CHEMBL115897,O=C1Nc2ccc(Br)cc2C1=O,10000.0
CHEMBL120254,NC(=S)/N=N/c1c(O)[nH]c2ccc([N+](=O)[O-])cc12,30000.0
CHEMBL116040,O=C1Nc2ccc(F)cc2C1=O,10000.0
CHEMBL333636,Cc1cc(C)c2c(c1)C(=O)C(=O)N2,10000.0
CHEMBL120076,COc1cccc(CN2C(=O)C(=O)c3cc(Cl)ccc32)c1,10000.0
CHEMBL327012,O=C1Nc2ccc(Cl)cc2C1=O,10000.0
CHEMBL333067,O=C1C(=O)N(Cc2ccc(Cl)cc2)c2ccc(Cl)cc21,6000.0
CHEMBL118210,Cc1cc(C)c2[nH]c(O)c(/N=N/C(=N)S)c2c1,16000.0
CHEMBL324722,COc1cccc(CN2C(=O)C(=O)c3cc(C)ccc32)c1,2000.0
CHEMBL119213,NC(=S)/N=N/c1c(O)[nH]c2ccc(Cl)cc12,21000.0
CHEMBL118355,Cc1cc(Cl)cc2c(/N=N/C(=N)S)c(O)[nH]c12,10500.0
CHEMBL336693,O=C1C(=O)N(Cc2ccccc2)c2ccc(Cl)cc21,90000.0
CHEMBL418861,NC(=S)/N=N/c1c(O)[nH]c2ccc(Br)cc12,20000.0
CHEMBL60569,CN1C(=O)C(=O)c2ccccc21,10000.0
CHEMBL118305,O=C1Nc2ccc([N+](=O)[O-])cc2C1=O,10000.0
CHEMBL118830,O=C1C(=O)N(C(=O)c2ccccc2)c2ccccc21,10000.0
CHEMBL117767,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1-c1ccccc1,2800.0
CHEMBL333137,NC(=S)/N=N/c1c(O)[nH]c2ccccc12,8000.0
CHEMBL325480,O=C1Nc2ccc(I)cc2C1=O,10000.0
CHEMBL116649,O=C1Nc2ccc(OC(F)(F)F)cc2C1=O,10000.0
CHEMBL119370,NC(=S)/N=N/c1c(O)[nH]c2ccc(I)cc12,9000.0
CHEMBL117515,Cc1ccc2c(c1)C(=O)C(=O)N2Cc1ccc(Cl)cc1,10000.0
CHEMBL118596,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,90000.0
CHEMBL119756,NC(=S)/N=N/c1c(O)[nH]c2ccc(F)cc12,30000.0
CHEMBL39255,O=C(N/N=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc2ccccc2c1,165958690743755.62
CHEMBL38981,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1cc2ccccc2cc1O,165958690743755.62
CHEMBL38462,O=C(N/N=C/c1ccc(-c2ccc(Cl)cc2)o1)c1ccccc1O,10000000000000.0
CHEMBL289164,O=C(N/N=C/c1ccc(-c2ccccc2[N+](=O)[O-])o1)c1ccccc1O,50118723362727.15
CHEMBL39253,COc1ccc2cc(O)c(C(=O)N/N=C/c3ccc(-c4cc(C(F)(F)F)nn4C)s3)cc2c1,5011872336272715.0
CHEMBL37464,O=C(N/N=C/c1ccc(C(=O)O)o1)c1cccc([N+](=O)[O-])c1,3019951720402.02
CHEMBL39814,CN(C)c1ccc(/C=N/NC(=O)c2ccccc2)c2ccccc12,1995262314968882.8
CHEMBL40503,O=C(N/N=C/c1cc(Br)cs1)c1cnc2ccccc2c1,33113112148259.08
CHEMBL40119,COc1cc(OC)cc(C(=O)N/N=C/c2ccc(C(=O)O)o2)c1,100000000000000.0
CHEMBL289374,CN(C)c1ccc(/C=N/NC(=O)c2ccnc3ccccc23)c2ccccc12,165958690743755.62
CHEMBL285167,COc1ccc(C(=O)N/N=C/c2ccoc2)c(OC)c1,6025595860743.57
CHEMBL416237,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1cccc([N+](=O)[O-])c1,199526231496888.28
CHEMBL289764,O=C(N/N=C/c1ccnc2ccccc12)c1ccccc1O,33113112148259.08
CHEMBL40165,CSc1ccc(/C=N/NC(=O)c2cccc(C)c2O)s1,100000000000000.0
CHEMBL39723,CN(C)c1ccc(/C=N/NC(=O)c2ccc(O)c(O)c2)c2ccccc12,61659500186148.09
CHEMBL39161,O=C(N/N=C/c1ccc(-c2ccccc2Cl)o1)c1cc2ccccc2cc1O,1659586907437556.2
CHEMBL326220,C/C(=N\N=C(/S)N1CCN(C)CC1)c1cccc(Br)c1,5000.0
CHEMBL108035,C/C(=N\N=C(\N)S)c1cccc(-c2ccccc2)c1,8000.0
CHEMBL108077,CS/C(S)=N/N=C(\C)c1cccc(Br)c1,20000.0
CHEMBL108865,C/C(=N\N=C(\N)S)c1cccc(Oc2ccccc2)c1,10000.0
CHEMBL109893,C/C(=N\N=C(\N)S)c1ccc(Oc2ccccc2)cc1,10000.0
CHEMBL108700,C/C(=N\N=C(/S)N1CCCCC1)c1cccc(Br)c1,5000.0
CHEMBL107612,C/C(=N\N=C(\N)S)c1ccc(Nc2ccccc2)cc1,20000.0
CHEMBL323975,C/C(=N\N=C(\N)S)c1ccc(-c2ccccc2)cc1,5000.0
CHEMBL108101,C/C(=N/N=C(/N)S)c1cccc(/C(C)=N/N=C(/N)S)c1,5000.0
CHEMBL416771,C/C(=N\NC(N)=S)c1ccccn1,20000.0
CHEMBL109619,CCN(CC)/C(S)=N/N=C(\C)c1cccc(Br)c1,5000.0
CHEMBL111632,C/C(=N\N=C(\N)S)c1cccc(Nc2ccccc2)c1,20000.0
CHEMBL181504,CCCC/C(=N\NC(N)=S)c1ccc(Cl)c(Cl)c1,19.0
CHEMBL367811,CC(C)(C)/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,10000.0
CHEMBL181902,N/C(S)=N/N=C(/c1ccc(Cl)c(Cl)c1)C1CCCCC1,3000.0
CHEMBL181752,N/C(S)=N/N=C(\C=C\c1ccccc1)c1ccc(Cl)c(Cl)c1,30.0
CHEMBL183767,N/C(S)=N/N=C(\Cc1ccccc1)c1ccc(Cl)c(Cl)c1,80.0
CHEMBL182795,Cc1ccc(/C(=N\N=C(\N)S)c2ccc(Cl)c(Cl)c2)cc1,40.0
